v,p
40, 471.5702293989491
40.19607843137255, 464.2268999102909
40.45751633986928, 452.4750096116878
40.588235294117645, 447.57945661924896
40.882352941176464, 434.8487761117519
41.111111111111114, 425.54626425733693
41.372549019607845, 415.26496219402793
41.63398692810458, 404.0032679738563
41.84535191487063, 394.2161893656074
42.41830065359477, 374.62995001922343
42.875816993464056, 357.49551454568757
43.418192621401175, 338.9019427789482
43.8562091503268, 326.66122004357305
44.18300653594771, 315.8929257977702
45.09803921568627, 288.4867999487378
46.5359477124183, 251.792579777009
48.10457516339869, 215.59496347558655
49.914708583157775, 177.14942229254933
50.91503267973856, 161.32096629501507
52.35294117647059, 137.37184416250193
53.92156862745098, 115.88011021402065
54.975152595473446, 100.46505741063817
55.93253389510073, 90.76721392386742
57.095068330362444, 78.0021299288369
57.77777777777777, 69.99070870178184
58.49694809053098, 63.710130030514335
59.41176470588235, 55.3649237472772
60.19607843137255, 48.5406254004875
60.98039215686274, 42.69671921056056
61.9845513963161, 35.67253482714386
62.549019607843135, 32.47949506600088
63.26797385620915, 27.612777136999227
63.26797385620915, 27.122581058567846
63.92156862745098, 23.723247468922864
64.71992653810835, 17.855722475886807
65.359477124183, 14.970203767782266
65.95084535191486, 11.248584725307637
66.89682925511802, 7.0209328262183135
67.76303138335223, 2.618409109444883
68.62745098039215, -0.06567986671711878
69.41176470588235, -3.4586056644872087
70.43002214659968, -6.482747152768297
71.1764705882353, -9.254453415352145
71.89542483660131, -11.67019095219689
72.7550910171231, -14.574898613903656
73.69281045751634, -16.484044598230412
