,p,v
0,17.7,10.296
1,19.9,10.201
2,21.4,10.148
3,24.1,10.042
4,27.3,9.936
5,30.4,9.841
6,36.1,9.674
7,33.6,9.742
8,17.8,10.282
9,22.9,10.086
10,30.3,9.8338
11,38.0,9.593
12,42.9,9.464
13,47.2,9.356
14,36.3,9.652
15,47.5,9.366
16,56.3,9.155
17,65.0,8.963
18,71.2,8.854
19,76.7,8.752
20,82.4,8.659
21,88.9,8.553
22,99.5,8.401
23,115.0,8.214
24,124.0,8.094
25,28.1,9.8802
26,55.2,9.1604
27,78.4,8.74
28,105.0,8.3254
29,122.0,8.1093
30,136.0,7.9487
31,146.0,7.8436
32,157.0,7.7307
33,167.0,7.6604
34,176.0,7.5693
35,188.0,7.4474
36,197.0,7.3906
37,29.0,9.857
38,53.0,9.201
39,90.0,8.565
40,106.0,8.332
41,127.0,8.071
42,133.0,8.01
43,143.0,7.899
44,154.0,7.778
45,163.0,7.701
46,172.0,7.618
47,181.0,7.539
48,189.0,7.478
49,195.0,7.426
50,202.0,7.358
51,201.0,7.356
52,205.0,7.33
